NumIpus,MinRowSize,MinColSize,CompileTime,RunTime
1,72,64,3.6466,0.64964
1,72,32,4.6031,0.45499
1,72,16,4.6157,0.45497
1,72,8,4.4936,0.45498
1,72,4,4.6029,0.45497
1,72,2,4.554,0.45497
1,72,1,4.7202,0.45498
1,48,64,4.145,0.45149
1,48,32,5.5349,0.31654
1,48,16,5.6319,0.31654
1,48,8,5.5172,0.31654
1,48,4,5.2289,0.31654
1,48,2,5.2823,0.31653
1,48,1,5.2994,0.31654
1,36,64,4.4735,0.35252
1,36,32,9.0114,0.33537
1,36,16,8.944,0.3354
1,36,8,8.6214,0.33539
1,36,4,8.7442,0.3354
1,36,2,8.7755,0.33539
1,36,1,8.961,0.33555
1,24,128,3.867,0.49942
1,24,64,5.0585,0.32915
1,24,32,9.0324,0.33562
1,24,16,9.0088,0.33542
1,24,8,8.7777,0.33539
1,24,4,8.6376,0.33539
1,24,2,8.7319,0.33547
1,24,1,8.6425,0.3354
1,12,128,5.2643,0.32157
1,12,64,4.8911,0.32915
1,12,32,8.8024,0.33558
1,12,16,8.5327,0.3354
1,12,8,8.6613,0.33554
1,12,4,8.7499,0.33555
1,12,2,8.6506,0.33539
1,12,1,8.6693,0.3354
1,6,128,5.395,0.32157
1,6,64,4.9208,0.32915
1,6,32,8.9337,0.33541
1,6,16,8.7828,0.3354
1,6,8,8.8383,0.33548
1,6,4,9.0062,0.33538
1,6,2,8.7606,0.33538
1,6,1,8.7617,0.33539
1,3,128,5.4258,0.32157
1,3,64,4.9796,0.32915
1,3,32,8.6583,0.3354
1,3,16,8.7397,0.33539
1,3,8,8.9362,0.3354
1,3,4,8.8146,0.33539
1,3,2,8.6298,0.3354
1,3,1,8.718,0.33555
1,2,128,5.3439,0.32158
1,2,64,4.9404,0.32914
1,2,32,8.9631,0.33546
1,2,16,8.9346,0.33556
1,2,8,8.9093,0.33539
1,2,4,8.9236,0.3354
1,2,2,8.8225,0.33548
1,2,1,8.7101,0.33539
1,1,128,5.3365,0.32157
1,1,64,4.9826,0.32915
1,1,32,8.8298,0.3354
1,1,16,8.764,0.33555
1,1,8,8.8482,0.33543
1,1,4,8.7989,0.33543
1,1,2,8.7221,0.33555
1,1,1,8.7888,0.33538
2,72,64,17.046,0.66061
2,72,32,16.886,0.34907
2,72,16,19.129,0.42428
2,72,8,19.181,0.42398
2,72,4,18.354,0.42389
2,72,2,18.036,0.42391
2,72,1,18.566,0.42388
2,48,64,16.722,0.46228
2,48,32,19.623,0.2464
2,48,16,17.055,0.23591
2,48,8,18.008,0.23589
2,48,4,16.762,0.23594
2,48,2,16.389,0.23588
2,48,1,17.543,0.23588
2,36,128,14.35,0.78956
2,36,64,16.669,0.36309
2,36,32,19.741,0.19477
2,36,16,17.375,0.18675
2,36,8,18.119,0.1867
2,36,4,17.305,0.18676
2,36,2,18.228,0.18674
2,36,1,16.837,0.18673
2,24,128,13.933,0.54802
2,24,64,17.677,0.26401
2,24,32,20.5,0.19588
2,24,16,24.708,0.20068
2,24,8,23.995,0.20065
2,24,4,24.053,0.20066
2,24,2,24.752,0.20069
2,24,1,24.172,0.20066
2,12,128,14.053,0.29316
2,12,64,22.094,0.17224
2,12,32,22.486,0.19578
2,12,16,24.091,0.20073
2,12,8,24.263,0.20107
2,12,4,24.162,0.20067
2,12,2,23.734,0.20069
2,12,1,24.087,0.20067
2,6,128,17.044,0.1854
2,6,64,20.715,0.17232
2,6,32,20.941,0.19576
2,6,16,24.043,0.20069
2,6,8,24.163,0.20077
2,6,4,23.84,0.20069
2,6,2,23.964,0.20077
2,6,1,24.156,0.20076
2,3,128,17.031,0.18542
2,3,64,22.794,0.17223
2,3,32,20.647,0.19571
2,3,16,24.027,0.20068
2,3,8,24.606,0.20069
2,3,4,23.559,0.2007
2,3,2,24.142,0.20069
2,3,1,24.518,0.20069
2,2,128,17.463,0.18538
2,2,64,21.19,0.17222
2,2,32,21.213,0.19575
2,2,16,24.059,0.20069
2,2,8,23.683,0.20067
2,2,4,23.793,0.2007
2,2,2,24.249,0.20066
2,2,1,23.815,0.20069
2,1,128,17.98,0.1854
2,1,64,21.015,0.17222
2,1,32,20.219,0.19577
2,1,16,24.777,0.20068
2,1,8,24.365,0.2007
2,1,4,24.429,0.20069
2,1,2,23.925,0.2007
2,1,1,23.765,0.20067
4,72,32,7.3932,0.42019
4,72,16,9.9598,0.30115
4,72,8,9.9501,0.30116
4,72,4,10.382,0.30131
4,72,2,10.141,0.30122
4,72,1,10.176,0.30134
4,48,64,5.8418,0.50635
4,48,32,8.4577,0.26624
4,48,16,11.55,0.19203
4,48,8,11.962,0.1921
4,48,4,11.803,0.19229
4,48,2,11.555,0.19185
4,48,1,11.546,0.19199
4,36,64,8.8249,0.41407
4,36,32,14.693,0.23455
4,36,16,12.971,0.13796
4,36,8,13.185,0.13795
4,36,4,13.167,0.13797
4,36,2,13.184,0.13794
4,36,1,13.102,0.13795
4,24,128,6.8077,0.526
4,24,64,7.537,0.26587
4,24,32,13.929,0.15232
4,24,16,17.385,0.10146
4,24,8,17.612,0.10146
4,24,4,17.491,0.10173
4,24,2,17.799,0.10145
4,24,1,17.636,0.10143
4,12,128,7.0216,0.27069
4,12,64,10.606,0.16038
4,12,32,23.13,0.10402
4,12,16,20.614,0.10096
4,12,8,20.583,0.10099
4,12,4,20.597,0.10098
4,12,2,20.371,0.10099
4,12,1,20.78,0.10099
4,6,128,8.949,0.15121
4,6,64,18.444,0.10075
4,6,32,23.147,0.10402
4,6,16,20.834,0.10096
4,6,8,20.549,0.10097
4,6,4,20.988,0.10097
4,6,2,20.853,0.10099
4,6,1,20.819,0.10118
4,3,128,16.057,0.092061
4,3,64,18.544,0.10137
4,3,32,23.442,0.10402
4,3,16,20.687,0.10097
4,3,8,21.047,0.10098
8,72,32,41.842,0.37105
8,48,64,35.164,0.49157
8,48,32,42.407,0.2623
8,36,64,35.071,0.38648
8,36,32,41.157,0.20769
8,24,128,32.151,0.55036
8,24,64,35.313,0.28157
8,24,32,43.337,0.15343
16,72,64,15.932,0.70871
16,72,32,18.798,0.40105
16,48,64,16.181,0.70932
16,48,32,18.699,0.40165
16,36,64,15.518,0.71039
16,36,32,18.247,0.40103
16,24,128,16.805,0.70711
16,24,64,19.416,0.3591
16,24,32,24.789,0.20476
8,72,16,37.888,0.19624
8,72,8,37.515,0.18087
